company_id,year,market_cap_crore,net_profit,sales,eps,net_profit_margin_pct,return_on_equity_pct,debt_to_equity,broad_sector,sub_sector,index_weight_pct
ABB,2024-03,1536236.24,1201,5849,565.0,20.53,32.47,0.0224,Industrials,Capital Goods,0.81
ADANIENSOL,2024-03,348517.36,1196,16607,10.0,7.199999999999999,9.46,2.9325,Energy,Power & Utilities,0.65
ADANIENT,2024-03,187927.97,3335,96421,28.0,3.46,8.53,1.6714,Industrials,Conglomerates,1.5
ADANIGREEN,2024-03,510512.78,1260,9220,7.0,13.67,12.81,6.5953,Energy,Renewable Energy,1.23
ADANIPORTS,2024-03,675598.01,8104,26711,38.0,30.34,15.35,0.9373,Industrials,Infrastructure,2.12
ADANIPOWER,2024-03,1372183.55,20829,50351,54.0,41.37,48.28,0.8023,Energy,Power & Utilities,3.01
AMBUJACEM,2024-03,1281411.04,4738,33160,16.0,14.29,11.43,0.0169,Materials,Cement,2.82
APOLLOHOSP,2024-03,1905622.43,935,19059,63.0,4.91,13.48,0.7689,Healthcare,Healthcare,0.62
ASIANPAINT,2024-03,2126725.18,5558,35495,57.0,15.66,29.68,0.1321,Materials,Paints & Coatings,1.13
ATGL,2024-03,1535602.41,668,4475,6.0,,,,Energy,Gas Distribution,0.6
AXISBANK,2024-03,948868.63,24861,109369,81.0,22.73,15.83,8.2491,Financials,Private Banks,2.97
BAJAJ-AUTO,2024-03,653817.3,7708,44870,276.0,17.18,26.61,0.066,Consumer Discretionary,Two Wheelers,3.9
BAJAJFINSV,2024-03,1905112.17,15595,110382,51.0,14.13,25.85,4.7894,Financials,Diversified Financials,2.12
BAJAJHLDNG,2024-03,2191568.13,7365,1702,653.0,432.73,13.58,0.0012,Financials,Holding Companies,3.36
BAJFINANCE,2024-03,2473271.58,14451,54972,233.0,26.29,18.84,3.8248,Financials,Consumer Finance,1.78
BANKBARODA,2024-03,590971.02,18869,118379,36.0,15.94,15.76,12.1437,Financials,Public Sector Banks,1.27
BEL,2024-03,1354781.06,3985,20268,5.0,19.66,4744.05,0.5119,Industrials,Defence Electronics,3.65
BHARTIARTL,2024-03,378605.83,8558,149982,13.0,5.71,10.36,2.6095,Communication Services,Telecommunications,1.13
BHEL,2024-03,540053.85,282,23893,1.0,1.18,1.15,0.3624,Industrials,Capital Goods,1.24
BOSCHLTD,2024-03,2599556.05,2490,16727,844.0,14.89,20.64,0.0032,Consumer Discretionary,Auto Ancillaries,2.82
BPCL,2024-03,468662.13,26859,448083,62.0,5.99,35.51000000000001,0.7219,Energy,Oil & Gas Refining,2.57
BRITANNIA,2024-03,324745.74,2134,16769,89.0,12.73,54.15,0.524,Consumer Staples,Food Products,0.66
CANBK,2024-03,496415.88,15401,110519,17.0,13.94,16.72,14.8674,Financials,Public Sector Banks,2.96
CHOLAFIN,2024-03,971931.96,3420,19163,41.0,17.85,17.46,6.8634,Financials,Consumer Finance,3.94
CIPLA,2024-03,439803.15,4154,25774,51.0,16.12,15.55,0.0209,Healthcare,Pharmaceuticals,0.95
COALINDIA,2024-03,454024.84,37369,142324,61.0,26.26,45.17,0.0788,Materials,Mining & Metals,2.46
DABUR,2024-03,56521.84,1811,12404,10.0,14.6,18.36,0.1384,Consumer Staples,Personal Products,2.4
DIVISLAB,2024-03,1615028.67,1600,7845,60.0,20.4,11.79,0.0002,Healthcare,Pharmaceuticals,3.75
DLF,2024-03,1381712.03,2724,6427,11.0,42.38,6.909999999999999,0.1226,Real Estate,Real Estate,2.86
DMART,2024-03,3053088.97,2536,50789,39.0,4.99,13.56,0.0317,Consumer Discretionary,Retail,3.07
DRREDDY,2024-03,2441803.28,5578,28011,67.0,19.91,19.74,0.0709,Healthcare,Pharmaceuticals,1.01
EICHERMOT,2024-03,222391.83,4001,16536,146.0,24.2,22.17,0.0232,Consumer Discretionary,Two Wheelers,3.13
GAIL,2024-03,1531867.57,9903,133228,15.0,7.430000000000001,12.86,0.283,Energy,Gas Distribution,3.12
GODREJCP,2024-03,1327797.2,-561,14096,-5.0,-3.98,-4.45,0.2558,Consumer Staples,Personal Products,0.89
GRASIM,2024-03,478951.82,9926,130978,85.0,7.580000000000001,11.2,1.5471,Industrials,Diversified Industrials,2.61
HAL,2024-03,2643616.86,7595,30381,114.0,25.0,3816.58,0.6181,Industrials,Defence & Aerospace,1.6
HAVELLS,2024-03,2521508.87,1271,18590,20.0,6.84,17.07,0.0407,Industrials,Consumer Electricals,1.44
HCLTECH,2024-03,412593.29,15710,109913,58.0,14.29,23.01,0.0844,Information Technology,IT Services,2.5
HDFCBANK,2024-03,808359.03,65446,283649,84.0,23.07,14.34,6.8088,Financials,Private Banks,1.06
HDFCLIFE,2024-03,47027.6,1574,101482,7.0,1.55,10.73,0.0648,Financials,Life Insurance,0.93
HEROMOTOCO,2024-03,1593400.88,3742,37789,187.0,9.9,21.14,0.0342,Consumer Discretionary,Two Wheelers,0.26
HINDALCO,2024-03,722281.1,10155,215962,45.0,4.7,9.569999999999999,0.5309,Materials,Metals & Mining,0.64
HINDUNILVR,2024-03,548890.59,10282,61896,44.0,16.61,20.07,0.029,Consumer Staples,FMCG,1.11
ICICIBANK,2024-03,1319221.86,46081,159516,63.0,28.89,17.99,6.4456,Financials,Private Banks,3.87
ICICIGI,2024-03,1271789.21,1919,20487,39.0,9.370000000000001,15.72,0.0029,Financials,General Insurance,3.51
ICICIPRULI,2024-03,1596987.55,851,90307,6.0,0.9400000000000001,7.73,0.109,Financials,Life Insurance,2.47
INDIGO,2024-03,1040632.92,8167,68904,212.0,11.85,892.57,0.0186,Consumer Discretionary,Airlines,3.03
INDUSINDBK,2024-03,1807433.12,8950,45748,115.0,19.56,14.25,6.8857,Financials,Private Banks,2.54
INFY,2024-03,1112279.92,26248,153670,63.0,17.08,29.79,0.0949,Information Technology,IT Services,3.37
IOC,2024-03,1418164.33,43161,776352,30.0,5.56,23.53,0.7231,Energy,Oil & Gas Refining,0.27
IRCTC,2024-03,1258520.29,1111,4270,14.0,26.02,34.4,0.0186,Consumer Discretionary,Travel & Tourism,3.97
IRFC,2024-03,2618348.58,6412,26645,5.0,24.06,13.04,8.3784,Financials,Speciality Finance,4.33
ITC,2024-03,332245.58,20751,70866,16.0,29.28,27.85,0.0041,Consumer Staples,Diversified FMCG,1.39
JINDALSTEL,2024-03,396587.97,5943,50354,58.0,11.8,13.41,0.3717,Materials,Steel,1.41
JIOFIN,2024-03,1401774.99,1605,1855,3.0,86.52,1.15,0.0,Financials,Diversified Financials,0.38
JSWENERGY,2024-03,110870.53,1725,11486,10.0,15.02,8.28,1.5156,Energy,Power & Utilities,1.14
JSWSTEEL,2024-03,2612646.38,8973,175006,36.0,5.13,11.55,1.1328,Materials,Steel,4.49
